accuracy,precision,recall,f1,auc,h_recall,mdd_recall,n_test,fold,test_subject,time_sec
0.4289732770745429,0.0,0.0,0.0,,0.4289732770745429,0.0,1422,0,H_14,267.3
0.13519021739130435,0.0,0.0,0.0,,0.13519021739130435,0.0,1472,1,H_16,653.3
0.7785622593068036,0.0,0.0,0.0,,0.7785622593068036,0.0,1558,2,H_19,654.9
0.7620286085825748,0.0,0.0,0.0,,0.7620286085825748,0.0,1538,3,H_22,442.0
0.5739880557398805,0.0,0.0,0.0,,0.5739880557398805,0.0,1507,4,H_23,331.5
0.11204663212435233,0.0,0.0,0.0,,0.11204663212435233,0.0,1544,5,H_24,624.4
0.5106512477175897,0.0,0.0,0.0,,0.5106512477175897,0.0,1643,6,H_26,332.7
0.07479861910241657,0.0,0.0,0.0,,0.07479861910241657,0.0,1738,7,H_27,652.4
0.8183464091732046,0.0,0.0,0.0,,0.8183464091732046,0.0,1657,8,H_28,610.1
0.44841979725700654,0.0,0.0,0.0,,0.44841979725700654,0.0,1677,9,H_4,304.5
0.6946182728410513,0.0,0.0,0.0,,0.6946182728410513,0.0,1598,10,H_5,410.7
0.7070866141732284,0.0,0.0,0.0,,0.7070866141732284,0.0,1270,11,H_6,303.9
0.6603325415676959,0.0,0.0,0.0,,0.6603325415676959,0.0,1684,12,H_8,624.3
0.6159420289855072,0.0,0.0,0.0,,0.6159420289855072,0.0,1380,13,H_9,478.1
0.8438818565400844,1.0,0.8438818565400844,0.9153318077803204,,0.0,0.8438818565400844,1659,14,MDD_1,523.2
0.7844727694090382,1.0,0.7844727694090382,0.8792207792207792,,0.0,0.7844727694090382,1726,15,MDD_10,668.2
0.8871331828442438,1.0,0.8871331828442438,0.9401913875598086,,0.0,0.8871331828442438,1329,16,MDD_11,498.7
0.7619532044760936,1.0,0.7619532044760936,0.8648960739030023,,0.0,0.7619532044760936,983,17,MDD_13,284.6
0.8231644260599793,1.0,0.8231644260599793,0.9030062393647192,,0.0,0.8231644260599793,967,18,MDD_14,455.8
0.8677900194426442,1.0,0.8677900194426442,0.9292158223455933,,0.0,0.8677900194426442,1543,19,MDD_15,455.2
0.7616312464101092,1.0,0.7616312464101092,0.8646886208020867,,0.0,0.7616312464101092,1741,20,MDD_17,241.7
0.8986402966625463,1.0,0.8986402966625463,0.9466145833333334,,0.0,0.8986402966625463,1618,21,MDD_18,284.5
0.37785588752196836,1.0,0.37785588752196836,0.548469387755102,,0.0,0.37785588752196836,1707,22,MDD_19,285.0
0.8204678362573099,1.0,0.8204678362573099,0.9013813042081593,,0.0,0.8204678362573099,1710,23,MDD_2,327.7
0.8277571251548946,1.0,0.8277571251548946,0.9057627118644068,,0.0,0.8277571251548946,1614,24,MDD_20,650.4
0.7524893314366998,1.0,0.7524893314366998,0.8587662337662337,,0.0,0.7524893314366998,1406,25,MDD_21,209.9
0.8138117806364252,1.0,0.8138117806364252,0.8973497573721538,,0.0,0.8138117806364252,1477,26,MDD_22,681.0
0.8878431372549019,1.0,0.8878431372549019,0.94058994599086,,0.0,0.8878431372549019,1275,27,MDD_23,651.4
0.8396025550035486,1.0,0.8396025550035486,0.9128086419753086,,0.0,0.8396025550035486,1409,28,MDD_24,393.5
0.8202247191011236,1.0,0.8202247191011236,0.9012345679012346,,0.0,0.8202247191011236,1246,29,MDD_26,371.5
0.8552894211576846,1.0,0.8552894211576846,0.9220010758472297,,0.0,0.8552894211576846,1002,30,MDD_27,612.2
0.8198356807511737,1.0,0.8198356807511737,0.9009996775233795,,0.0,0.8198356807511737,1704,31,MDD_28,550.5
0.8565488565488566,1.0,0.8565488565488566,0.9227323628219485,,0.0,0.8565488565488566,1443,32,MDD_29,460.7
0.8031423290203327,1.0,0.8031423290203327,0.8908252178370066,,0.0,0.8031423290203327,1082,33,MDD_3,654.1
0.8275217932752179,1.0,0.8275217932752179,0.9056218057921636,,0.0,0.8275217932752179,1606,34,MDD_30,399.7
0.7338709677419355,1.0,0.7338709677419355,0.8465116279069768,,0.0,0.7338709677419355,1736,35,MDD_31,662.4
0.8904428904428905,1.0,0.8904428904428905,0.9420468557336621,,0.0,0.8904428904428905,1716,36,MDD_32,617.7
0.7800776196636481,1.0,0.7800776196636481,0.876453488372093,,0.0,0.7800776196636481,1546,37,MDD_33,466.5
0.15457413249211358,1.0,0.15457413249211358,0.2677595628415301,,0.0,0.15457413249211358,1585,38,MDD_5,225.7
0.8039073806078147,1.0,0.8039073806078147,0.8912956277577216,,0.0,0.8039073806078147,1382,39,MDD_6,602.0
