subject,accuracy,f1,precision,recall,auc,h_recall,mdd_recall
H_14,0.5668073136427567,0.0,0.0,0.0,,0.5668073136427567,0.0
H_16,0.1922554347826087,0.0,0.0,0.0,,0.1922554347826087,0.0
H_19,0.7792041078305519,0.0,0.0,0.0,,0.7792041078305519,0.0
H_22,0.6345903771131339,0.0,0.0,0.0,,0.6345903771131339,0.0
H_23,0.6655607166556071,0.0,0.0,0.0,,0.6655607166556071,0.0
H_24,0.16645077720207255,0.0,0.0,0.0,,0.16645077720207255,0.0
H_26,0.6183810103469264,0.0,0.0,0.0,,0.6183810103469264,0.0
H_27,0.12945914844649023,0.0,0.0,0.0,,0.12945914844649023,0.0
H_28,0.815932407966204,0.0,0.0,0.0,,0.815932407966204,0.0
H_4,0.5509838998211091,0.0,0.0,0.0,,0.5509838998211091,0.0
H_5,0.7553191489361702,0.0,0.0,0.0,,0.7553191489361702,0.0
H_6,0.7826771653543307,0.0,0.0,0.0,,0.7826771653543307,0.0
H_8,0.5908551068883611,0.0,0.0,0.0,,0.5908551068883611,0.0
H_9,0.6420289855072464,0.0,0.0,0.0,,0.6420289855072464,0.0
MDD_1,0.7691380349608198,0.8695059625212948,1.0,0.7691380349608198,,0.0,0.7691380349608198
MDD_10,0.8290845886442642,0.90655685777637,1.0,0.8290845886442642,,0.0,0.8290845886442642
MDD_11,0.8073739653875094,0.8934221482098251,1.0,0.8073739653875094,,0.0,0.8073739653875094
MDD_13,0.768056968463886,0.8688147295742232,1.0,0.768056968463886,,0.0,0.768056968463886
MDD_14,0.7869700103412617,0.8807870370370371,1.0,0.7869700103412617,,0.0,0.7869700103412617
MDD_15,0.814646791963707,0.8978571428571429,1.0,0.814646791963707,,0.0,0.814646791963707
MDD_17,0.8121769098219415,0.8963549920760697,1.0,0.8121769098219415,,0.0,0.8121769098219415
MDD_18,0.776885043263288,0.8744347826086957,1.0,0.776885043263288,,0.0,0.776885043263288
MDD_19,0.36379613356766255,0.5335051546391752,1.0,0.36379613356766255,,0.0,0.36379613356766255
MDD_2,0.7374269005847953,0.8488724335240659,1.0,0.7374269005847953,,0.0,0.7374269005847953
MDD_20,0.8159851301115242,0.8986693961105425,1.0,0.8159851301115242,,0.0,0.8159851301115242
MDD_21,0.7297297297297297,0.84375,1.0,0.7297297297297297,,0.0,0.7297297297297297
MDD_22,0.8077183480027081,0.8936329588014982,1.0,0.8077183480027081,,0.0,0.8077183480027081
MDD_23,0.8,0.8888888888888888,1.0,0.8,,0.0,0.8
MDD_24,0.7849538679914834,0.8795228628230616,1.0,0.7849538679914834,,0.0,0.7849538679914834
MDD_26,0.819422150882825,0.9007498897220997,1.0,0.819422150882825,,0.0,0.819422150882825
MDD_27,0.811377245508982,0.8958677685950414,1.0,0.811377245508982,,0.0,0.811377245508982
MDD_28,0.7617370892018779,0.8647568287808128,1.0,0.7617370892018779,,0.0,0.7617370892018779
MDD_29,0.8385308385308385,0.9121748963437618,1.0,0.8385308385308385,,0.0,0.8385308385308385
MDD_3,0.8401109057301294,0.9131089904570567,1.0,0.8401109057301294,,0.0,0.8401109057301294
MDD_30,0.7646326276463262,0.8666196189131969,1.0,0.7646326276463262,,0.0,0.7646326276463262
MDD_31,0.7788018433179723,0.8756476683937824,1.0,0.7788018433179723,,0.0,0.7788018433179723
MDD_32,0.8012820512820513,0.8896797153024911,1.0,0.8012820512820513,,0.0,0.8012820512820513
MDD_33,0.7393272962483829,0.8501301599107475,1.0,0.7393272962483829,,0.0,0.7393272962483829
MDD_5,0.2643533123028391,0.4181636726546906,1.0,0.2643533123028391,,0.0,0.2643533123028391
MDD_6,0.8248914616497829,0.9040444091990484,1.0,0.8248914616497829,,0.0,0.8248914616497829
